Format Version,1.21,Take Name,Take 2019-09-22 09.41.40 PM,Capture Frame Rate,30.000000,Export Frame Rate,30.000000,Capture Start Time,2019-09-22 09.41.40 PM,Total Frames in Take,794,Total Exported Frames,794,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,Marker1,Marker1,Marker1,Marker1,Marker2,Marker2,Marker2,Marker2,Marker3,Marker3,Marker3,Marker3,Marker4,Marker4,Marker4,Marker4,Hand:Index,Hand:Index,Hand:Index,Hand:Thumb,Hand:Thumb,Hand:Thumb,Hand:Middle,Hand:Middle,Hand:Middle,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker3,RigidBody 1:Marker3,RigidBody 1:Marker3,RigidBody 1:Marker4,RigidBody 1:Marker4,RigidBody 1:Marker4
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E3571463B00000002","8392B20CF49E3571463B00000002","8392B20CF49E3571463B00000002","8392B20CF49E3571463B00000000","8392B20CF49E3571463B00000000","8392B20CF49E3571463B00000000","8392B20CF49E3571463B00000001","8392B20CF49E3571463B00000001","8392B20CF49E3571463B00000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000004","8392B20CF49E3573100000004","8392B20CF49E3573100000004"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.049736,0.695922,0.024371,-0.715978,1.090759,1.324568,3.285349,0.000244,1.061772,1.321419,3.247410,0.931222,1.110306,1.323515,3.238316,0.922537,1.148076,1.327211,3.294469,0.959343,1.042882,1.326127,3.361202,0.943226,1.016732,1.331308,3.212445,1.002233,1.281282,3.360644,0.993733,1.314415,3.274111,1.061650,1.321479,3.247124,1.110573,1.323429,3.238462,1.147898,1.327250,3.294374,1.042922,1.326112,3.361438
1,0.033333,-0.050826,0.695323,0.023892,-0.716500,1.090529,1.324623,3.285487,0.000338,1.061493,1.321440,3.247589,0.909919,1.110009,1.323655,3.238425,0.877385,1.147854,1.327389,3.294524,0.964993,1.042761,1.326006,3.361412,0.909253,1.016687,1.331047,3.212632,1.002108,1.280494,3.360685,0.993478,1.314290,3.274448,1.061317,1.321567,3.247360,1.110450,1.323479,3.238373,1.147591,1.327462,3.294476,1.042790,1.325973,3.361743
2,0.066667,-0.051571,0.695160,0.024434,-0.716586,1.090194,1.324651,3.285763,0.000248,1.061144,1.321530,3.247869,0.942206,1.109656,1.323775,3.238691,0.927028,1.147521,1.327417,3.294783,0.938881,1.042454,1.325883,3.361707,0.943996,1.016341,1.330899,3.212786,1.001865,1.280134,3.360600,0.993269,1.314474,3.274566,1.061045,1.321553,3.247510,1.109876,1.323738,3.239008,1.147296,1.327433,3.294647,1.042561,1.325880,3.361889
3,0.100000,-0.050890,0.695128,0.024473,-0.716665,1.089949,1.324582,3.285846,0.000243,1.060890,1.321453,3.247961,0.944365,1.109402,1.323642,3.238771,0.924199,1.147281,1.327299,3.294852,0.938076,1.042225,1.325931,3.361799,0.950296,1.016024,1.330729,3.212754,1.001539,1.280076,3.360550,0.993043,1.314854,3.274669,1.060782,1.321470,3.247649,1.109635,1.323616,3.239076,1.147063,1.327309,3.294708,1.042322,1.325930,3.361954
4,0.133333,-0.050347,0.694741,0.024637,-0.717072,1.089646,1.324571,3.285922,0.000245,1.060539,1.321449,3.248073,0.941096,1.109042,1.323587,3.238825,0.922407,1.146991,1.327241,3.294860,0.938297,1.042012,1.326009,3.361930,0.953110,1.015685,1.330657,3.212809,1.001251,1.279945,3.360544,0.992729,1.315018,3.274832,1.060389,1.321466,3.247777,1.109289,1.323558,3.239112,1.146795,1.327254,3.294741,1.042114,1.326006,3.362061
5,0.166667,-0.050304,0.694719,0.025257,-0.717076,1.089355,1.324579,3.285962,0.000252,1.060241,1.321515,3.248113,0.938147,1.108746,1.323614,3.238863,0.920411,1.146703,1.327187,3.294897,0.936450,1.041730,1.326001,3.361976,0.952900,1.015409,1.330671,3.212804,1.000923,1.279802,3.360370,0.992489,1.315267,3.274814,1.060072,1.321546,3.247815,1.108991,1.323566,3.239159,1.146526,1.327211,3.294783,1.041834,1.325993,3.362094
